server_id,user_id
BBG00GBVBK51,NYSE:BHGE
BBG00GBV88T6,NYSE:BTU~1
BBG00G41B914,NYSE:GOOS
BBG00FWQ4VD6,NASDAQ:ULTA
BBG00FQH6BS9,NYSE:INVH
BBG00FJDD048,NYSE:KEG
BBG00FGXCJX5,NYSE:PK
BBG00FFBF302,AMEX:GDP~1
BBG00F9VSCH3,NASDAQ:ICHR
BBG00DYPZ4T0,NASDAQ:BHF
BBG00DYNJGH9,NYSE:ARNC
BBG00DXDL6Q1,NYSE:VST
BBG00DL8NMV2,NYSE:FTI~1
BBG00DDZZ1Z0,NASDAQ:THOR~1
BBG00DBBGRX1,NASDAQ:CRSP
BBG00D30HGP6,NYSE:CLNY
BBG00D2Z7X83,NYSE:CWH
BBG00D1WLVH9,NASDAQ:TIVO
BBG00D1WHZD9,NYSE:HTZ
BBG00D1PMS80,NASDAQ:CRON
BBG00D0Y81M1,NYSE:ASH
BBG00CW2JCN1,NYSE:ATH
BBG00CVQZQ96,NYSE:ITT~1
BBG00CNYBQ76,NASDAQ:CDEV
BBG00CC0GTP1,NASDAQ:ROSE~1
BBG00CBYY6M1,NYSE:HGV
BBG00C6H6D40,NYSE:USFD
BBG00C0B4TP3,NYSE:TLRD
BBG00BN961G4,NYSE:DWDP
BBG00BLVZ228,NYSE:FTV
BBG00BFHDFR4,NASDAQ:FWONK
BBG00BFHDCV6,NASDAQ:FWONA
BBG00BDQ1H13,NASDAQ:TEAM
BBG00BBHBMF8,NYSE:VSM
BBG00B8N0HG1,NYSE:YUMC
BBG00B6WH9G3,NASDAQ:MTCH
BBG00B6BFWH9,NYSE:CCEP
BBG00B3T3HD3,NYSE:AA
BBG009XW8PY2,NASDAQ:NVCR
BBG009T22D49,NYSE:SITE
BBG009S3NB30,NASDAQ:GOOG
BBG009S39JX6,NASDAQ:GOOGL
BBG009PN0C87,NYSE:ADNT
BBG009PH3Q86,NYSE:RACE
BBG009NRSWJ4,NASDAQ:Z
BBG009NRNMY4,NYSE:KL
BBG009NMJJJ4,NYSE:FDC
BBG009LGHG16,NASDAQ:LIVN
BBG009H04M17,NYSE:PLNT
BBG009DTD8H2,NYSE:UA
BBG0098VVDT9,NASDAQ:OLLI
BBG008NXC572,NYSE:WRK
BBG008NVB1C0,NASDAQ:MNST
BBG008N298Y8,NASDAQ:WING
BBG008HBD923,NYSE:SHOP
BBG008FCJZ83,NYSE:STE
BBG0084BBZY6,NASDAQ:SEDG
BBG0081VHTP3,NYSE:IGT
BBG00805D2Z3,NYSE:APHA
BBG007TJF1N7,NASDAQ:QRVO
BBG007GJ2F81,NYSE:FND
BBG007FG0C23,NYSE:MSG
BBG007DJM539,NYSE:UBS
BBG0078ZLDG9,NYSE:FCAU
BBG0078Y1D92,NASDAQ:SYNH
BBG0078W3NQ3,NYSE:HPE
BBG0077VNXV6,NASDAQ:PYPL
BBG0076WG2V1,NYSE:QSR
